City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Newport,GB,2022-10-06 07:01:52,51.5877,-2.9984,57.74,87,10,12.5
221,Viransehir,TR,2022-10-06 07:01:53,37.2353,39.7631,85.24,25,0,2.62
222,Porto Novo,BJ,2022-10-06 07:00:33,6.4965,2.6036,77.76,87,100,4.83
223,Sterling,US,2022-10-06 07:01:53,39.0062,-77.4286,57.42,90,0,5.75
224,Matay,EG,2022-10-06 07:01:54,28.419,30.7792,77.79,49,0,19.24
225,Hambantota,LK,2022-10-06 07:01:54,6.1241,81.1185,93.54,52,40,14.97
226,Clarence Town,AU,2022-10-06 07:02:55,-32.5833,151.7833,66.11,88,100,2.33
227,Havelock,US,2022-10-06 07:02:55,34.8791,-76.9013,59.94,95,0,4.21
228,Ocampo,MX,2022-10-06 07:02:56,21.65,-101.5,55.08,89,100,7.38
229,Bjerkvik,NO,2022-10-06 07:02:56,68.5597,17.5189,42.62,86,100,6.38
230,Chuy,UY,2022-10-06 07:02:57,-33.6971,-53.4616,58.44,86,100,12.08
231,Luena,AO,2022-10-06 07:02:57,-11.7833,19.9167,77.58,46,100,6.96
232,Wanning,CN,2022-10-06 07:02:58,18.8003,110.3967,82.13,83,30,8.12
233,Los Lunas,US,2022-10-06 07:02:58,34.8062,-106.7334,58.5,94,100,8.05
234,Shushenskoye,RU,2022-10-06 07:02:59,53.325,91.9356,41.88,76,100,4.65
235,Meulaboh,ID,2022-10-06 07:02:59,4.1363,96.1285,80.35,80,99,2.75
236,Mamakan,RU,2022-10-06 07:02:59,57.8161,114.0028,36.73,64,100,2.1
237,Meiganga,CM,2022-10-06 07:03:00,6.5167,14.3,69.42,91,100,1.12
238,Kenora,CA,2022-10-06 07:00:20,49.8167,-94.4337,37.78,62,100,13.0
239,Rosetown,CA,2022-10-06 07:03:01,51.5501,-108.0014,36.66,47,100,10.07
240,Allanridge,ZA,2022-10-06 07:03:01,-27.7543,26.6438,77.61,40,43,7.02
241,Burnie,AU,2022-10-06 07:03:01,-41.0667,145.9167,53.94,91,100,16.28
242,Kaitangata,NZ,2022-10-06 07:03:02,-46.2817,169.8464,41.65,76,88,14.14
243,Belgaum,IN,2022-10-06 07:01:04,15.8667,74.5,76.91,78,75,9.22
244,Zhangye,CN,2022-10-06 07:03:03,38.9342,100.4517,60.73,23,6,10.31
245,Cumana,VE,2022-10-06 07:03:03,10.4635,-64.1775,75.92,94,100,6.08
246,Fort Nelson,CA,2022-10-06 07:03:04,58.8053,-122.7002,41.23,84,8,2.26
247,Carroll,US,2022-10-06 07:03:04,39.5501,-77.0164,56.55,84,0,1.99
248,Quatre Cocos,MU,2022-10-06 07:03:05,-20.2078,57.7625,77.11,72,31,17.54
249,Arlit,NE,2022-10-06 07:03:05,18.7369,7.3853,87.58,19,100,8.52
250,Oranjemund,NA,2022-10-06 07:03:06,-28.55,16.4333,58.14,71,4,12.24
251,Sistranda,NO,2022-10-06 07:03:06,63.7256,8.834,48.16,82,99,33.49
252,Mar Del Plata,AR,2022-10-06 07:00:09,-38.0023,-57.5575,56.95,92,46,1.99
253,Sitka,US,2022-10-06 07:03:07,57.0531,-135.33,55.29,94,100,0.0
254,Port Macquarie,AU,2022-10-06 07:03:07,-31.4333,152.9167,60.58,90,100,4.14
255,Fortuna,US,2022-10-06 07:03:08,40.5982,-124.1573,57.34,87,67,3.67
256,Sept-Iles,CA,2022-10-06 07:01:13,50.2001,-66.3821,48.06,91,84,5.57
257,Acaponeta,MX,2022-10-06 07:03:09,22.4964,-105.3594,74.32,92,90,2.42
258,Morondava,MG,2022-10-06 07:03:09,-20.2833,44.2833,81.25,65,0,7.52
259,Anadyr,RU,2022-10-06 07:03:10,64.75,177.4833,35.01,69,7,40.04
260,Bose,IT,2022-10-06 07:03:11,45.4612,8.0137,60.21,88,0,0.49
261,Palana,RU,2022-10-06 07:03:11,59.1167,159.9667,33.67,74,100,31.65
262,Koslan,RU,2022-10-06 07:03:12,63.4564,48.8989,42.87,97,100,3.02
263,Marzuq,YE,2022-10-06 07:03:12,14.4,46.4667,85.19,21,75,12.44
264,Tadine,NC,2022-10-06 07:03:13,-21.55,167.8833,71.76,65,100,13.53
265,Pangoa,PE,2022-10-06 07:03:13,-12.1167,-73.0,67.19,99,86,3.13
266,Kindu,CD,2022-10-06 07:03:14,-2.95,25.95,79.32,66,100,4.05
267,Ojinaga,MX,2022-10-06 07:03:14,29.5667,-104.4167,70.75,60,100,6.91
268,Roxana,CR,2022-10-06 07:03:15,10.2753,-83.7513,78.03,96,100,2.55
269,Yulara,AU,2022-10-06 07:03:15,-25.2406,130.9889,91.11,15,70,17.25
270,Nanortalik,GL,2022-10-06 07:03:16,60.1432,-45.2371,35.35,86,11,10.87
271,Najran,SA,2022-10-06 07:03:16,17.4924,44.1277,83.61,18,68,12.55
272,Khash,IR,2022-10-06 07:03:17,28.2211,61.2158,81.0,5,0,4.97
273,Collie,AU,2022-10-06 07:03:17,-33.3667,116.15,55.24,73,100,7.96
274,Ishigaki,JP,2022-10-06 07:04:18,24.3448,124.1572,81.0,78,27,16.93
275,Byron Bay,AU,2022-10-06 07:04:18,-28.65,153.6167,64.94,86,100,2.37
276,Itarema,BR,2022-10-06 07:04:19,-2.9248,-39.9167,77.83,78,14,15.86
